Day,StateID,Tag,Speech,Response-Transition,Recovery
1,greeting,1_g,"Welcome to superhero self-talk skill training, for the next five day, you are going to have a wonderful adventure with our superhero Zip! Let’s join him to save the world;
Today is our first day joining our superhero Zip. Let’s see how he will lead us to a new adventure!",na-0,"Sorry, can you say again?"
1,0,1_0,"If you are ready, say I am ready to start day one and press the button.",dayone-1,"Sorry, can you say again?"
1,1,1_1,"Great, let's join our superhero Zip now. 
And, first, I would love to get to know you a bit more! Can you tell me your name? ",na-2,"Sorry, can you tell me your name?"
1,2,1_2,"Hi, it’s nice to meet you! 
For the next several days, I am going to tell you a different story every day about a Superhero named Zip. During the story, I will ask you some questions. When you hear the sound [Q effect sound],a question is coming. Sometimes, when I ask you a question, I will ask you to talk about it with your sibling. Now let’s start to have a try to answer one question.",na-3,"Sorry, I did not catch that. Can you say again?"
1,3,1_3,"[Q effect sound]: have you ever faced any challenges, like being picked on, failing a quiz, or getting injured? You can share the experience with me if you have.  Answer ""not sure"" if you cannot think of one right now. Remember to press the button after you have finished sharing. ",na-4,"Sorry, I did not catch that. Can you say again?"
1,4,1_4,"Thanks for sharing that with me! Today we are going to talk about how to deal with challenges using your powerful superhero skill, called superhero self-talk! It is called superhero self-talk because it can help you deal with challenges and fix problems!",na-5,"Sorry, I did not catch that. Can you say again?"
1,5,1_5,"Self-talk is what you say to yourself in your mind every minute of every day. How you talk to yourself changes how you feel, and how you feel changes what you do. Sometimes we talk to ourselves in supportive ways that help us be our best selves, and sometimes we talk to ourselves in hurtful or unproductive ways that make it harder to be our best selves. Our superhero Zip’s super power is that he is great at remembering to talk to himself in a supportive way. With practice, you can build this super power, too! It won’t make problems go away, but it can help you feel more prepared to tackle whatever comes your way. For example, if you are afraid or anxious, you can say to yourself, ""It’s okay, I can handle it, I can do this.” By talking to yourself in a supportive way, you can prepare yourself to cope with challenges and to do your best, even when things are difficult. If you think negatively, it can make you feel even more upset than you already were. You can learn to use self-talk when things go wrong and to be your own self-talk Superhero!",na-6,"Sorry, I did not catch that. Can you say again?"
1,6,1_6,"Now let’s see how Zip uses his super power to help a kid named Lily!
Every night, Zip puts on his mask and cape and flies help someone who is feeling down or frustrated. Zip remembers how to use self-talk with four secret letters: H, T, F, D. “H” is for “happens,” first something that happens. Next, “T” is for “thoughts,” whenever something happens to us, we have thoughts about it. Then comes “F” for feelings. Our thoughts affect our feelings. This is where self-talk comes in! Using self-talk to change how we think about what happens to us changes how we feel about it. And finally “D” is for “do” because our feelings help us decide what to do. Now we can listen to Zip help Lily use self-talk to think-feel-do.",na-7,
1,7,1_7,"It was a Friday night. Lily had just created an epic lego tower covered in missile launchers. Her little sister, Monica, came over to check out Lily’s work and was so excited. “Wow, this is the coolest tower ever!” Without asking Lily for permission, Monica reached out to try launching the missiles and accidentally knocked over the tower, breaking the entire building. Lily watched all her hard work disappear in an instant. She could feel anger rising up inside her. At the same moment, the archenemy of superhero, the supervillain, Hex, was waiting in the shadows, and he cackled with delight when he saw Lily’s frustration. This was his chance! Hex’s evil power is planting seeds of doubt and fear in children’s minds and tricking them into telling themselves hurtful and unsupportive things. Once Hex has tricked a child into undermining themselves, they start to do his evil work for him. When he saw Lily’s anger, he saw a perfect opportunity. He flew to her shoulder and whispered quietly in her ear:",na-8,
,,1_8,"""You spent so long building your legos and she just ruined it! She never respects your things. You should scream at her to teach her a lesson. Why should you always be the one to stay calm? You should throw a fit because you are so mad! She made you feel bad, so you deserve a chance to make her feel bad, too"". Lily’s face began to turn red. Hex saw Lily was getting really angry. He heard her muttering to herself, “I should make her feel bad.” Once Hex heard that he had tricked her into negative self-talk, he gleefully flew away. ",na-9,
